  hc          1.4593  0.0208
  ha          1.4735  0.0161
  hn          0.6210  0.0100
  ho          0.3019  0.0047
  hs          0.6112  0.0124
  hp          0.6031  0.0144
  o           1.7107  0.1463
  os          1.7713  0.0726
  op          1.7713  0.0726
  oq          1.7713  0.0726
  oh          1.8200  0.0930
  c3          1.9069  0.1078
  c2          1.8606  0.0988
  c1          1.9525  0.1596
  n           1.7852  0.1636
  s           1.9825  0.2824
  p2          2.0732  0.2295
  f           1.7029  0.0832
  cl          1.9452  0.2638
  br          2.0275  0.3932
  i           2.1558  0.4955
  n1          1.8372  0.1098
  n2          1.8993  0.0941
  n3          1.8886  0.0858
  na          1.7992  0.2042
  nh          1.7903  0.2150
  n+          1.6028  0.7828
  n9          2.2700  0.0095
  h1          1.3593  0.0208
  h2          1.2593  0.0208
  h3          1.1593  0.0208
  hx          1.0593  0.0208
  h4          1.4235  0.0161
  h5          1.3735  0.0161
  cx          1.9069  0.1078
  cy          1.9069  0.1078
  c           1.8606  0.0988
  cs          1.8606  0.0988
  ca          1.8606  0.0988
  cc          1.8606  0.0988
  cd          1.8606  0.0988
  ce          1.8606  0.0988
  cf          1.8606  0.0988
  cp          1.8606  0.0988
  cq          1.8606  0.0988
  cz          1.8606  0.0988
  cg          1.9525  0.1596
  ch          1.9525  0.1596
  cu          1.8606  0.0988
  cv          1.8606  0.0988
  nb          1.8993  0.0941
  nc          1.8993  0.0941
  nd          1.8993  0.0941
  ne          1.8993  0.0941
  nf          1.8993  0.0941
  no          1.8886  0.0858
  n7          1.9686  0.0522
  n8          2.0486  0.0323
  n4          1.4028  3.8748
  nx          1.4528  2.5453
  ny          1.5028  1.6959
  nz          1.5528  1.1450
  ns          1.8352  0.1174
  nt          1.8852  0.0851
  nu          1.8403  0.1545
  nv          1.8903  0.1120
  ni          1.7852  0.1636
  nj          1.7852  0.1636
  nk          1.4528  2.5453
  nl          1.4528  2.5453
  nm          1.7903  0.2150
  nn          1.7903  0.2150
  np          1.8886  0.0858
  nq          1.8886  0.0858
  n5          1.9686  0.0522
  n6          1.9686  0.0522
  s2          1.9825  0.2824
  s4          1.9825  0.2824
  s6          1.9825  0.2824
  sx          1.9825  0.2824
  sy          1.9825  0.2824
  sh          1.9825  0.2824
  ss          1.9825  0.2824
  sp          1.9825  0.2824
  sq          1.9825  0.2824
  p3          2.0732  0.2295
  p4          2.0732  0.2295
  p5          2.0732  0.2295
  pb          2.0732  0.2295
  px          2.0732  0.2295
  py          2.0732  0.2295
  pc          2.0732  0.2295
  pd          2.0732  0.2295
  pe          2.0732  0.2295
  pf          2.0732  0.2295
