1           3.938       0.068
2           4.193       0.068
3           3.984       0.068
4           4.154       0.068
5            2.97       0.022
6           3.558       0.076
7           3.493       0.076
8           4.028       0.072
9           3.789       0.072
10           3.89       0.072
11          2.992        0.08
12          4.089       0.276
13          4.332       0.389
14          4.717       0.551
15          4.369       0.268
16          4.666       0.268
17          4.256       0.268
18          3.997       0.268
19          4.835       0.251
20          3.938       0.068
21          2.614       0.022
22          3.984       0.068
23          2.614       0.022
24          2.614       0.022
25          3.734        0.26
26          4.573        0.26
27          2.614       0.022
28          2.614       0.022
29          2.614       0.022
30          4.193       0.068
31          2.614       0.022
32           3.62       0.076
33          2.614       0.022
34           3.89       0.072
35          4.305       0.076
36          2.614       0.022
37          4.193       0.068
38          3.735       0.072
39          3.984       0.072
40           3.89       0.072
41          3.984       0.068
42           3.89       0.072
43           3.89       0.072
44          4.369       0.268
45          4.028       0.072
46          4.154       0.072
47           3.89       0.072
48          4.071       0.072
49           3.89       0.076
50          2.614       0.022
51          3.094       0.076
52          2.614       0.022
53           3.89       0.072
54          4.154       0.072
55          3.679       0.072
56          3.679       0.072
57           3.89       0.068
58          3.679       0.072
59          3.493       0.076
60          4.506       0.068
61          3.679       0.072
62          4.154       0.072
63          4.193       0.068
64          4.193       0.068
65           3.89       0.072
66           3.62       0.072
67           3.84       0.072
68          3.789       0.072
69           3.84       0.072
70          3.757       0.076
71          2.614       0.022
72          4.695       0.268
73          4.369       0.268
74          4.369       0.268
75          4.695        0.26
76          4.071       0.072
77          3.674       0.276
78          4.193       0.068
79           3.89       0.072
80           3.89       0.068
81          3.679       0.072
82           3.84       0.072
87          3.276       0.106
88          3.445       0.106
89          4.231        0.08
90          4.835       0.276
91          4.993       0.389
92          2.489       0.053
93          3.181        0.07
94            4.0       0.084
95          3.239       0.106
96          3.896       0.097
97          3.077       0.106
98          3.181       0.106
99          3.077        0.07
